12345678901;Pedro Almeida;pedro.almeida@email.com;89160000
23456789012;Mariana Costa;mariana.costa@email.com;80010000
34567890123;Lucas Ferreira;lucas.ferreira@email.com;89801000
45678901234;Ana Souza;ana.souza@email.com;89201000
56789012345;João Ribeiro;joao.ribeiro@email.com;88010020
67890123456;Camila Martins;camila.martins@email.com;89010000
78901234567;Gabriel Lima;gabriel.lima@email.com;89600000
89012345678;Fernanda Rocha;fernanda.rocha@email.com;89160000
90123456789;Rafael Oliveira;rafael.oliveira@email.com;88501000
11223344556;Juliana Santos;juliana.santos@email.com;88801000
22334455667;Thiago Alves;thiago.alves@email.com;88330000
33445566778;Patrícia Mendes;patricia.mendes@email.com;88701000

